1200405109523201430_2_2x2	别 只 能 想 自 己 ， 想 你 周 围 的 人 。 还 有 你 ， 如 果 你 是 一 个 家 庭 的 爸 爸 ， 你 多 想 自 己 的 孩 子 ； 如 果 你 是 青 少 年 你 多 想 自 己 的 未 来 ； 那 你 可 以 禁 烟 了 。	NONE	NONE	C C R C C C C M M C C C C C C C R C C C C C C C C C C C C C C M C M C C C C C C C C C C C C C M C M C C C C C C C M C S C C C	别 只 想 自 己 ， 要 想 想 你 周 围 的 人 。 还 有 ， 如 果 你 是 一 个 家 庭 的 爸 爸 ， 你 要 多 想 想 自 己 的 孩 子 ； 如 果 你 是 青 少 年 你 要 多 想 想 自 己 的 未 来 ； 那 你 就 可 以 戒 烟 了 。
20200209550523150152_2_2x1	若 父 母 主 动 和 孩 子 平 起 平 坐 ， 倾 心 交 谈 ， 互 相 充 分 理 解 对 方 ， 会 能 够 大 幅 减 少 互 相 抱 怨 的 情 况 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C R R C C C C C C C C C C C C	若 父 母 主 动 和 孩 子 平 起 平 坐 ， 倾 心 交 谈 ， 互 相 充 分 理 解 对 方 ， 会 大 幅 减 少 互 相 抱 怨 的 情 况 。
30200307201523100052_2_12x2	到 底 是 健 康 重 要 ， 还 是 粮 食 产 生 量 重 要 呢 ？ 对 这 个 问 题 的 我 的 意 见 是 产 生 量 更 重 要 。	NONE	NONE	C C C C C C C C C C C C S S C C C C C C C C C C R C C C C C C C C C C C C	到 底 是 健 康 重 要 ， 还 是 粮 食 生 产 量 重 要 呢 ？ 对 这 个 问 题 我 的 意 见 是 产 生 量 更 重 要 。
41200210543634250003_2_1x3	对 于 “ 安 乐 死 ” 的 看 法 ， 向 来 都 是 一 个 极 具 争 议 性 的 题 目 ， 因 为 毕 竟 每 个 人 对 于 死 亡 的 观 念 都 不 一 样 ， 怎 样 的 情 况 下 去 判 断 ， 也 自 然 产 生 出 很 多 主 观 和 客 观 的 理 论 。 每 个 人 都 有 着 生 存 的 权 利 ， 也 代 表 着 每 个 人 都 能 去 决 定 如 何 结 束 自 己 的 生 命 的 权 利 。 在 我 的 个 人 观 点 中 ， 如 果 一 个 长 期 受 着 病 魔 折 磨 的 人 ， 会 是 十 分 痛 苦 的 事 ， 不 仅 是 病 人 本 身 ， 以 致 病 者 的 家 人 和 朋 友 ， 都 是 一 件 难 受 的 事 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C S C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C R R R C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C	对 于 “ 安 乐 死 ” 的 看 法 ， 向 来 都 是 一 个 极 具 争 议 性 的 题 目 ， 因 为 毕 竟 每 个 人 对 于 死 亡 的 观 念 都 不 一 样 ， 无 论 在 怎 样 的 情 况 下 去 判 断 ， 都 自 然 产 生 出 很 多 主 观 和 客 观 的 理 论 。 每 个 人 都 有 着 生 存 的 权 利 ， 也 代 表 着 每 个 人 都 能 去 决 定 如 何 结 束 自 己 的 生 命 。 在 我 的 个 人 观 点 中 ， 如 果 一 个 长 期 受 着 病 魔 折 磨 的 人 活 着 ， 会 是 十 分 痛 苦 的 事 ， 不 仅 是 病 人 本 身 ， 对 于 病 者 的 家 人 和 朋 友 ， 都 是 一 件 难 受 的 事 。
56200307109523200097_2_4x2	但 不 用 化 肥 的 话 ， 世 界 农 作 物 的 生 产 量 又 会 大 大 降 低 。 然 而 ， 世 界 很 多 贫 困 地 区 的 人 们 却 没 有 东 西 吃 ， 就 是 “ 饥 饿 ” 问 题 。	NONE	NONE	C C C C C C C C C C C C C C S S S C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C	但 不 用 化 肥 的 话 ， 世 界 农 作 物 的 产 量 又 会 大 大 降 低 。 然 而 ， 世 界 很 多 贫 困 地 区 的 人 民 却 没 有 东 西 吃 ， 就 是 “ 饥 饿 ” 问 题 。
67200209550523250151_2_1x2	最 近 生 活 节 奏 越 来 越 快 ， 在 一 个 家 庭 里 父 母 与 子 女 之 间 发 生 的 代 沟 情 况 也 越 来 越 严 重 。 那 么 我 们 难 道 这 些 问 题 置 之 不 理 就 好 吗 ？	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C M C C C C C C C C C C C	最 近 生 活 节 奏 越 来 越 快 ， 在 一 个 庭 里 父 母 与 子 女 之 间 发 生 的 代 沟 问 题 也 越 来 越 严 重 。 那 么 我 们 难 道 对 这 些 问 题 置 之 不 理 就 好 吗 ？
78200405109523200512_2_3x1	吸 烟 不 但 对 自 己 的 健 康 好 处 ， 而 且 给 非 吸 烟 者 带 来 不 好 的 影 响 。	NONE	NONE	C C C C C C C C C C S S C C C C C C C C C C C C C C C C	吸 烟 不 但 对 自 己 的 健 康 不 好 ， 而 且 给 非 吸 烟 者 带 来 不 好 的 影 响 。
88200307209523100009_2_2x1	最 好 的 办 法 还 是 国 家 研 究 出 既 不 会 伤 人 也 可 以 提 高 产 量 的 化 肥 和 农 药 ， 这 样 就 不 会 存 在 这 些 问 题 了 ， 只 是 要 研 究 出 这 些 东 西 ， 需 要 长 时 间 的 研 究 ， 所 以 在 这 段 期 间 ， 我 们 主 动 帮 助 那 些 人 们 ， 如 给 他 们 一 些 食 物 ， 出 一 点 儿 钱 帮 助 他 们 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C R C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C	最 好 的 办 法 还 是 国 家 研 究 出 既 不 会 伤 人 也 可 以 提 高 产 量 的 化 肥 和 农 药 ， 这 样 就 不 会 存 在 这 些 问 题 了 ， 只 是 要 研 究 出 这 些 东 西 ， 需 要 长 时 间 的 研 究 ， 所 以 在 这 期 间 ， 我 们 主 动 帮 助 那 些 人 们 ， 如 给 他 们 一 些 食 物 ， 出 一 点 儿 钱 帮 助 他 们 。
111200105109525100838_2_4x3	在 这 个 故 事 中 出 现 的 第 一 个 和 尚 就 是 这 样 的 心 理 中 解 决 问 题 ； 再 如 在 一 个 地 方 只 有 两 个 人 ， 并 且 有 一 件 该 做 的 事 情 ， 这 时 候 那 两 个 人 怎 么 想 呢 ？ 只 有 两 个 人 的 地 方 ， 如 果 自 己 不 做 ， 而 别 一 人 也 不 做 的 话 ， 明 显 地 看 出 来 那 事 情 没 有 做 完 。 所 以 和 像 这 个 故 事 一 样 两 个 人 都 会 做 。	NONE	NONE	C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S C M C C C C C C C C C C C C C C C C C C C C C C R C C C C C C C C C C C C C C	在 这 个 故 事 中 出 现 的 第 一 个 和 尚 就 是 在 这 样 的 心 理 中 解 决 问 题 ； 再 如 在 一 个 地 方 只 有 两 个 人 ， 并 且 有 一 件 该 做 的 事 情 ， 这 时 候 那 两 个 人 怎 么 想 呢 ？ 只 有 两 个 人 的 地 方 ， 如 果 自 己 不 做 ， 而 另 一 个 人 也 不 做 的 话 ， 明 显 地 看 出 来 那 事 情 没 有 做 完 。 所 以 像 这 个 故 事 一 样 两 个 人 都 会 做 。
124200209550523250323_2_2x1	并 这 些 意 见 差 距 固 然 不 容 易 解 决 ， 但 并 不 是 不 能 解 决 的 。	NONE	NONE	R C C C C C C C C C C C C C C C C C C C C C C C C	这 些 意 见 差 距 固 然 不 容 易 解 决 ， 但 并 不 是 不 能 解 决 的 。
